id	name	full_time_course	time_18h	time_48h
ENSG00000005156	LIG3	non-DE	non-DE	non-DE
ENSG00000005175	RPAP3	18 h	Virulent	non-DE
ENSG00000005189	AC004381.6	18 & 48 h	All	All
ENSG00000005194	CIAPIN1	18 h	Virulent	non-DE
ENSG00000005238	FAM214B	18 & 48 h	All	All
ENSG00000005243	COPZ2	18 h	Yers-Salm	Yers-Salm
ENSG00000005249	PRKAR2B	non-DE	non-DE	MTB
ENSG00000005302	MSL3	18 h	All	non-DE
ENSG00000005339	CREBBP	18 h	All	Yers-Salm
ENSG00000005379	BZRAP1	non-DE	non-DE	non-DE
ENSG00000005381	MPO	non-DE	non-DE	non-DE
ENSG00000005436	GCFC2	Yers-Salm	Yers-Salm	non-DE
ENSG00000005448	WDR54	non-DE	non-DE	non-DE
ENSG00000005469	CROT	18 h	All	non-DE
ENSG00000005471	ABCB4	All	All	All
ENSG00000005483	KMT2E	18 h	All	non-DE
ENSG00000005486	RHBDD2	All	All	All
ENSG00000005700	IBTK	Yers-Salm	non-DE	non-DE
ENSG00000005801	ZNF195	non-DE	non-DE	non-DE
ENSG00000005810	MYCBP2	non-DE	non-DE	non-DE
ENSG00000005812	FBXL3	18 h	Yers-Salm	non-DE
ENSG00000005844	ITGAL	48 h	Yers-Salm	All
ENSG00000005882	PDK2	48 h	non-DE	All
ENSG00000005884	ITGA3	48 h	non-DE	All
ENSG00000005889	ZFX	Yers-Salm	Yers-Salm	non-DE
ENSG00000005893	LAMP2	non-DE	non-DE	non-DE
ENSG00000005955	GGNBP2	non-DE	Yers-Salm	non-DE
ENSG00000006007	GDE1	48 h	non-DE	All
ENSG00000006015	C19orf60	18 h	All	All
ENSG00000006016	CRLF1	non-DE	Virulent	non-DE
ENSG00000006025	OSBPL7	18 & 48 h	All	All
ENSG00000006074	CCL18	48 h	Yers-Salm	All
ENSG00000006075	CCL3	All	All	All
ENSG00000006114	SYNRG	18 h	All	Yers-Salm
ENSG00000006118	TMEM132A	18 & 48 h	All	All
ENSG00000006125	AP2B1	non-DE	non-DE	non-DE
ENSG00000006194	ZNF263	18 & 48 h	Virulent	All
ENSG00000006282	SPATA20	non-DE	non-DE	non-DE
ENSG00000006283	CACNA1G	48 h	non-DE	All
ENSG00000006327	TNFRSF12A	48 h	non-DE	All
ENSG00000006432	MAP3K9	Yers-Salm	Yers-Salm	non-DE
ENSG00000006451	RALA	18 h	All	non-DE
ENSG00000006453	BAIAP2L1	18 & 48 h	All	All
ENSG00000006459	JHDM1D	18 & 48 h	All	All
ENSG00000006468	ETV1	non-DE	non-DE	non-DE
ENSG00000006530	AGK	18 h	All	non-DE
ENSG00000006534	ALDH3B1	Yers-Salm	non-DE	non-DE
ENSG00000006576	PHTF2	non-DE	non-DE	non-DE
ENSG00000006607	FARP2	non-DE	non-DE	non-DE
ENSG00000006625	GGCT	18 & 48 h	All	Virulent
ENSG00000006634	DBF4	18 h	Virulent	non-DE
ENSG00000006638	TBXA2R	non-DE	All	non-DE
ENSG00000006652	IFRD1	18 h	All	non-DE
ENSG00000006695	COX10	non-DE	Yers-Salm	non-DE
ENSG00000006704	GTF2IRD1	48 h	non-DE	All
ENSG00000006712	PAF1	non-DE	non-DE	non-DE
ENSG00000006715	VPS41	non-DE	non-DE	non-DE
ENSG00000006744	ELAC2	18 & 48 h	All	All
ENSG00000006747	SCIN	48 h	non-DE	All
ENSG00000006756	ARSD	non-DE	Yers-Salm	non-DE
ENSG00000006757	PNPLA4	non-DE	non-DE	non-DE
ENSG00000006831	ADIPOR2	non-DE	Yers-Salm	non-DE
ENSG00000006837	CDKL3	48 h	non-DE	All
ENSG00000007038	PRSS21	non-DE	non-DE	non-DE
ENSG00000007047	MARK4	18 h	All	non-DE
ENSG00000007080	CCDC124	18 h	Virulent	non-DE
ENSG00000007129	CEACAM21	non-DE	non-DE	non-DE
ENSG00000007168	PAFAH1B1	18 h	All	non-DE
ENSG00000007202	KIAA0100	Yers-Salm	non-DE	non-DE
ENSG00000007237	GAS7	18 & 48 h	All	All
ENSG00000007255	TRAPPC6A	18 & 48 h	All	All
ENSG00000007264	MATK	18 h	Yers-Salm	Yers-Salm
ENSG00000007312	CD79B	non-DE	non-DE	non-DE
ENSG00000007341	ST7L	non-DE	non-DE	non-DE
ENSG00000007372	PAX6	18 h	All	non-DE
ENSG00000007376	RPUSD1	18 h	All	non-DE
ENSG00000007384	RHBDF1	18 h	All	non-DE
ENSG00000007392	LUC7L	non-DE	non-DE	non-DE
ENSG00000007402	CACNA2D2	18 h	All	non-DE
ENSG00000007520	TSR3	18 h	All	non-DE
ENSG00000007541	PIGQ	non-DE	non-DE	non-DE
ENSG00000007545	CRAMP1L	18 & 48 h	All	All
ENSG00000007866	TEAD3	18 & 48 h	All	Yers-Salm
ENSG00000007923	DNAJC11	non-DE	non-DE	non-DE
ENSG00000007944	MYLIP	Yers-Salm	Yers-Salm	Yers-Salm
ENSG00000007968	E2F2	18 h	All	Yers-Salm
ENSG00000008018	PSMB1	non-DE	non-DE	non-DE
ENSG00000008056	SYN1	All	All	All
ENSG00000008083	JARID2	18 h	All	non-DE
ENSG00000008086	CDKL5	18 h	All	non-DE
ENSG00000008118	CAMK1G	18 h	All	non-DE
ENSG00000008128	CDK11A	non-DE	Yers-Salm	non-DE
ENSG00000008130	NADK	Yers-Salm	Virulent	Yers-Salm
ENSG00000008226	DLEC1	non-DE	non-DE	Yers-Salm
ENSG00000008256	CYTH3	48 h	non-DE	All
ENSG00000008282	SYPL1	non-DE	non-DE	non-DE
ENSG00000008283	CYB561	18 h	All	non-DE
ENSG00000008294	SPAG9	18 h	Virulent	non-DE
ENSG00000008300	CELSR3	48 h	non-DE	All
ENSG00000008311	AASS	18 h	All	non-DE
ENSG00000008324	SS18L2	18 h	Virulent	non-DE
ENSG00000008382	MPND	18 h	Virulent	Yers-Salm
ENSG00000008394	MGST1	48 h	Yers-Salm	All
ENSG00000008405	CRY1	18 h	All	non-DE
ENSG00000008441	NFIX	Yers-Salm	non-DE	non-DE
ENSG00000008513	ST3GAL1	18 & 48 h	All	All
ENSG00000008516	MMP25	48 h	non-DE	All
ENSG00000008517	IL32	18 & 48 h	All	All
ENSG00000008710	PKD1	Yers-Salm	non-DE	non-DE
ENSG00000008838	MED24	non-DE	non-DE	non-DE
ENSG00000008853	RHOBTB2	18 & 48 h	All	All
ENSG00000008869	HEATR5B	18 h	Virulent	non-DE
ENSG00000008952	SEC62	18 h	All	non-DE
ENSG00000008988	RPS20	48 h	non-DE	All
ENSG00000009307	CSDE1	Yers-Salm	non-DE	non-DE
ENSG00000009335	UBE3C	non-DE	non-DE	non-DE
ENSG00000009413	REV3L	non-DE	non-DE	non-DE
ENSG00000009724	MASP2	48 h	non-DE	All
ENSG00000009780	FAM76A	non-DE	Virulent	non-DE
ENSG00000009790	TRAF3IP3	48 h	Yers-Salm	All
ENSG00000009830	POMT2	18 h	All	non-DE
ENSG00000009844	VTA1	non-DE	non-DE	non-DE
ENSG00000009950	MLXIPL	non-DE	non-DE	non-DE
ENSG00000009954	BAZ1B	non-DE	non-DE	non-DE
ENSG00000010017	RANBP9	18 h	All	non-DE
ENSG00000010030	ETV7	Yers-Salm	Yers-Salm	Yers-Salm
ENSG00000010072	SPRTN	non-DE	non-DE	non-DE
ENSG00000010165	METTL13	Yers-Salm	Yers-Salm	non-DE
ENSG00000010219	DYRK4	18 & 48 h	All	All
ENSG00000010244	ZNF207	18 & 48 h	All	All
ENSG00000010256	UQCRC1	18 h	Yers-Salm	Yers-Salm
ENSG00000010270	STARD3NL	18 h	All	non-DE
ENSG00000010278	CD9	18 & 48 h	All	All
ENSG00000010292	NCAPD2	18 & 48 h	All	All
ENSG00000010295	IFFO1	48 h	non-DE	All
ENSG00000010310	GIPR	non-DE	non-DE	non-DE
ENSG00000010318	PHF7	48 h	non-DE	MTB
ENSG00000010322	NISCH	18 & 48 h	All	All
ENSG00000010327	STAB1	18 & 48 h	All	All
ENSG00000010361	FUZ	18 & 48 h	All	All
ENSG00000010404	IDS	18 & 48 h	All	All
ENSG00000010539	ZNF200	All	Yers-Salm	All
ENSG00000010610	CD4	18 h	All	non-DE
ENSG00000010626	LRRC23	non-DE	non-DE	non-DE
ENSG00000010671	BTK	non-DE	non-DE	Yers-Salm
ENSG00000010704	HFE	non-DE	Yers-Salm	non-DE
ENSG00000010803	SCMH1	18 h	All	Yers-Salm
ENSG00000010810	FYN	18 & 48 h	All	All
ENSG00000010818	HIVEP2	All	All	All
ENSG00000011007	TCEB3	18 & 48 h	MTB	All
ENSG00000011009	LYPLA2	48 h	non-DE	All
ENSG00000011021	CLCN6	48 h	non-DE	All
ENSG00000011028	MRC2	18 & 48 h	All	All
ENSG00000011052	NME2	18 & 48 h	All	All
ENSG00000011083	SLC6A7	18 h	All	non-DE
ENSG00000011105	TSPAN9	non-DE	non-DE	non-DE
ENSG00000011114	BTBD7	non-DE	non-DE	non-DE
ENSG00000011132	APBA3	18 h	All	Yers-Salm
ENSG00000011143	MKS1	18 h	All	Yers-Salm
ENSG00000011198	ABHD5	All	All	All
ENSG00000011201	KAL1	non-DE	non-DE	non-DE
ENSG00000011243	AKAP8L	Yers-Salm	non-DE	non-DE
ENSG00000011258	MBTD1	non-DE	non-DE	non-DE
ENSG00000011260	UTP18	18 h	Yers-Salm	Yers-Salm
ENSG00000011275	RNF216	non-DE	non-DE	non-DE
ENSG00000011295	TTC19	18 h	All	non-DE
ENSG00000011304	PTBP1	non-DE	Yers-Salm	non-DE
ENSG00000011376	LARS2	non-DE	non-DE	non-DE
ENSG00000011405	PIK3C2A	non-DE	non-DE	non-DE
ENSG00000011422	PLAUR	All	All	All
ENSG00000011426	ANLN	18 h	All	Yers-Salm
ENSG00000011451	WIZ	non-DE	non-DE	non-DE
ENSG00000011454	RABGAP1	non-DE	non-DE	non-DE
ENSG00000011465	DCN	18 & 48 h	Virulent	All
ENSG00000011478	QPCTL	non-DE	non-DE	non-DE
ENSG00000011485	PPP5C	18 h	All	non-DE
ENSG00000011523	CEP68	non-DE	MTB	non-DE
ENSG00000011566	MAP4K3	non-DE	non-DE	non-DE
ENSG00000011590	ZBTB32	All	non-DE	All
ENSG00000011600	TYROBP	non-DE	non-DE	non-DE
ENSG00000011638	TMEM159	48 h	non-DE	All
ENSG00000012048	BRCA1	18 h	All	Yers-Salm
ENSG00000012061	ERCC1	18 h	Virulent	non-DE
ENSG00000012124	CD22	18 & 48 h	All	All
ENSG00000012174	MBTPS2	18 h	Virulent	non-DE
ENSG00000012211	PRICKLE3	All	Yers-Salm	All
ENSG00000012232	EXTL3	18 h	All	Yers-Salm
ENSG00000012660	ELOVL5	non-DE	non-DE	non-DE
ENSG00000012779	ALOX5	48 h	non-DE	All
ENSG00000012817	KDM5D	non-DE	non-DE	non-DE
ENSG00000012822	CALCOCO1	18 h	All	non-DE
ENSG00000012963	UBR7	18 h	All	Yers-Salm
ENSG00000012983	MAP4K5	non-DE	non-DE	non-DE
ENSG00000013016	EHD3	non-DE	non-DE	non-DE
ENSG00000013275	PSMC4	18 h	All	non-DE
ENSG00000013288	MAN2B2	non-DE	Yers-Salm	non-DE
ENSG00000013306	SLC25A39	18 h	All	non-DE
ENSG00000013364	MVP	Yers-Salm	non-DE	non-DE
ENSG00000013374	NUB1	Yers-Salm	Yers-Salm	non-DE
ENSG00000013375	PGM3	18 h	All	non-DE
ENSG00000013392	RWDD2A	18 h	All	non-DE
ENSG00000013441	CLK1	18 h	Virulent	non-DE
ENSG00000013503	POLR3B	18 h	Virulent	non-DE
ENSG00000013523	ANGEL1	18 h	Virulent	Yers-Salm
ENSG00000013561	RNF14	non-DE	non-DE	non-DE
ENSG00000013563	DNASE1L1	48 h	non-DE	All
ENSG00000013573	DDX11	non-DE	non-DE	non-DE
ENSG00000013583	HEBP1	18 & 48 h	Virulent	All
ENSG00000013588	GPRC5A	All	All	non-DE
ENSG00000013619	MAMLD1	All	All	All
ENSG00000013810	TACC3	18 & 48 h	All	All
ENSG00000014123	UFL1	non-DE	non-DE	non-DE
ENSG00000014138	POLA2	18 h	All	non-DE
ENSG00000014164	ZC3H3	18 h	All	non-DE
ENSG00000014216	CAPN1	non-DE	non-DE	non-DE
ENSG00000014257	ACPP	18 & 48 h	All	All
ENSG00000014641	MDH1	18 h	Virulent	Yers-Salm
ENSG00000014824	SLC30A9	non-DE	non-DE	non-DE
ENSG00000014914	MTMR11	All	All	All
ENSG00000014919	COX15	non-DE	non-DE	non-DE
ENSG00000015133	CCDC88C	18 & 48 h	All	All
ENSG00000015153	YAF2	non-DE	non-DE	non-DE
ENSG00000015171	ZMYND11	non-DE	non-DE	non-DE
ENSG00000015285	WAS	non-DE	Yers-Salm	non-DE
ENSG00000015475	BID	48 h	non-DE	All
ENSG00000015479	MATR3	non-DE	non-DE	non-DE
ENSG00000015532	XYLT2	Yers-Salm	non-DE	Yers-Salm
ENSG00000015568	RGPD5	18 h	All	non-DE
ENSG00000015676	NUDCD3	18 h	All	non-DE
ENSG00000016391	CHDH	non-DE	Yers-Salm	non-DE
ENSG00000016864	GLT8D1	Yers-Salm	non-DE	non-DE
ENSG00000017260	ATP2C1	18 & 48 h	All	All
ENSG00000017373	SRCIN1	18 & 48 h	MTB	All
ENSG00000017427	IGF1	18 & 48 h	All	All
ENSG00000017483	SLC38A5	18 & 48 h	MTB	All
ENSG00000017621	MAGIX	18 h	All	Yers-Salm
ENSG00000017797	RALBP1	non-DE	non-DE	non-DE
ENSG00000018189	RUFY3	18 h	Yers-Salm	non-DE
ENSG00000018280	SLC11A1	18 & 48 h	All	All
ENSG00000018408	WWTR1	non-DE	Yers-Salm	non-DE
ENSG00000018510	AGPS	18 h	All	non-DE
ENSG00000018610	CXorf56	non-DE	non-DE	non-DE
ENSG00000018699	TTC27	18 h	All	Yers-Salm
ENSG00000018869	ZNF582	non-DE	non-DE	non-DE
ENSG00000019144	PHLDB1	18 & 48 h	All	All
ENSG00000019169	MARCO	non-DE	non-DE	non-DE
ENSG00000019485	PRDM11	non-DE	Yers-Salm	non-DE
ENSG00000019582	CD74	48 h	non-DE	Yers-Salm
ENSG00000019991	HGF	18 & 48 h	All	All
ENSG00000019995	ZRANB1	18 h	Virulent	non-DE
ENSG00000020129	NCDN	48 h	non-DE	All
ENSG00000020181	GPR124	18 & 48 h	All	All
ENSG00000020256	ZFP64	Yers-Salm	All	non-DE
ENSG00000020426	MNAT1	non-DE	non-DE	Yers-Salm
ENSG00000020577	SAMD4A	Yers-Salm	non-DE	Yers-Salm
ENSG00000020633	RUNX3	48 h	non-DE	MTB
ENSG00000020922	MRE11A	non-DE	non-DE	non-DE
ENSG00000021300	PLEKHB1	non-DE	Yers-Salm	non-DE
ENSG00000021355	SERPINB1	Yers-Salm	Yers-Salm	non-DE
ENSG00000021574	SPAST	non-DE	non-DE	non-DE
ENSG00000021762	OSBPL5	18 & 48 h	All	All
ENSG00000021776	AQR	non-DE	non-DE	non-DE
ENSG00000022267	FHL1	48 h	Yers-Salm	All
ENSG00000022277	RTFDC1	non-DE	non-DE	non-DE
ENSG00000022556	NLRP2	48 h	non-DE	MTB
ENSG00000022567	SLC45A4	All	Yers-Salm	All
ENSG00000022840	RNF10	18 h	All	non-DE
ENSG00000022976	ZNF839	non-DE	non-DE	non-DE
ENSG00000023041	ZDHHC6	non-DE	non-DE	non-DE
ENSG00000023171	GRAMD1B	Yers-Salm	non-DE	non-DE
ENSG00000023191	RNH1	18 & 48 h	Virulent	All
ENSG00000023228	NDUFS1	non-DE	non-DE	non-DE
ENSG00000023287	RB1CC1	18 h	All	non-DE
ENSG00000023318	ERP44	18 & 48 h	All	All
ENSG00000023330	ALAS1	non-DE	non-DE	non-DE
ENSG00000023445	BIRC3	All	All	All
ENSG00000023516	AKAP11	non-DE	non-DE	non-DE
ENSG00000023572	GLRX2	48 h	Yers-Salm	MTB
ENSG00000023608	SNAPC1	All	Virulent	Yers-Salm
ENSG00000023697	DERA	18 h	All	Yers-Salm
ENSG00000023734	STRAP	18 h	Virulent	non-DE
ENSG00000023839	ABCC2	48 h	Yers-Salm	Yers-Salm
ENSG00000023892	DEF6	18 h	All	non-DE
ENSG00000023902	PLEKHO1	18 & 48 h	All	Yers-Salm
ENSG00000023909	GCLM	18 & 48 h	All	All
ENSG00000024048	UBR2	18 h	Virulent	non-DE
ENSG00000024422	EHD2	non-DE	non-DE	non-DE
ENSG00000024526	DEPDC1	non-DE	non-DE	Yers-Salm
ENSG00000024862	CCDC28A	non-DE	Virulent	non-DE
ENSG00000025039	RRAGD	48 h	Yers-Salm	All
ENSG00000025156	HSF2	non-DE	non-DE	non-DE
ENSG00000025293	PHF20	Yers-Salm	non-DE	Yers-Salm
ENSG00000025434	NR1H3	18 & 48 h	All	All
ENSG00000025708	TYMP	18 & 48 h	non-DE	All
ENSG00000025770	NCAPH2	18 & 48 h	All	Yers-Salm
ENSG00000025772	TOMM34	18 h	Virulent	non-DE
ENSG00000025796	SEC63	non-DE	non-DE	non-DE
ENSG00000025800	KPNA6	non-DE	Yers-Salm	Yers-Salm
ENSG00000026025	VIM	Yers-Salm	non-DE	Yers-Salm
ENSG00000026103	FAS	48 h	Yers-Salm	All
ENSG00000026297	RNASET2	18 & 48 h	All	All
ENSG00000026508	CD44	All	All	All
ENSG00000026559	KCNG1	48 h	non-DE	All
ENSG00000026652	AGPAT4	18 h	All	non-DE
ENSG00000026751	SLAMF7	All	All	All
ENSG00000026950	BTN3A1	18 h	All	MTB
ENSG00000027001	MIPEP	18 & 48 h	All	Yers-Salm
ENSG00000027075	PRKCH	18 & 48 h	Virulent	All
ENSG00000027697	IFNGR1	48 h	Yers-Salm	All
ENSG00000027847	B4GALT7	18 h	Virulent	non-DE
ENSG00000027869	SH2D2A	48 h	non-DE	All
ENSG00000028116	VRK2	18 & 48 h	All	All
ENSG00000028137	TNFRSF1B	All	Yers-Salm	All
ENSG00000028203	VEZT	non-DE	Yers-Salm	non-DE
ENSG00000028277	POU2F2	non-DE	non-DE	non-DE
ENSG00000028310	BRD9	18 h	All	non-DE
ENSG00000028528	SNX1	48 h	non-DE	All
ENSG00000028839	TBPL1	Yers-Salm	Yers-Salm	non-DE
ENSG00000029153	ARNTL2	All	All	All
ENSG00000029363	BCLAF1	non-DE	non-DE	non-DE
ENSG00000029364	SLC39A9	non-DE	non-DE	non-DE
ENSG00000029534	ANK1	non-DE	non-DE	MTB
ENSG00000029559	IBSP	non-DE	Yers-Salm	non-DE
ENSG00000029639	TFB1M	18 h	All	Yers-Salm
ENSG00000029725	RABEP1	non-DE	Yers-Salm	non-DE
ENSG00000029993	HMGB3	18 h	All	Yers-Salm
ENSG00000030066	NUP160	18 h	non-DE	non-DE
ENSG00000030110	BAK1	Yers-Salm	non-DE	non-DE
ENSG00000030419	IKZF2	non-DE	non-DE	non-DE
ENSG00000030582	GRN	48 h	non-DE	All
ENSG00000031003	FAM13B	non-DE	non-DE	non-DE
ENSG00000031081	ARHGAP31	18 & 48 h	All	All
ENSG00000031691	CENPQ	non-DE	non-DE	non-DE
ENSG00000031698	SARS	18 h	Virulent	non-DE
ENSG00000031823	RANBP3	non-DE	non-DE	non-DE
ENSG00000032219	ARID4A	18 h	All	non-DE
ENSG00000032389	TSSC1	18 h	Virulent	non-DE
ENSG00000032444	PNPLA6	18 & 48 h	All	All
ENSG00000032742	IFT88	18 h	All	non-DE
ENSG00000033011	ALG1	18 h	All	non-DE
ENSG00000033030	ZCCHC8	non-DE	Yers-Salm	non-DE
ENSG00000033050	ABCF2	18 h	Virulent	non-DE
ENSG00000033100	CHPF2	18 h	All	non-DE
ENSG00000033170	FUT8	non-DE	non-DE	non-DE
ENSG00000033178	UBA6	18 h	All	non-DE
ENSG00000033327	GAB2	All	Virulent	Yers-Salm
ENSG00000033627	ATP6V0A1	Yers-Salm	Yers-Salm	Yers-Salm
ENSG00000033800	PIAS1	18 h	Virulent	non-DE
ENSG00000033867	SLC4A7	non-DE	non-DE	non-DE
ENSG00000034053	APBA2	18 & 48 h	Virulent	All
ENSG00000034152	MAP2K3	18 & 48 h	All	All
ENSG00000034510	TMSB10	Yers-Salm	non-DE	non-DE
ENSG00000034533	ASTE1	18 h	All	non-DE
ENSG00000034677	RNF19A	18 h	Virulent	non-DE
ENSG00000034693	PEX3	non-DE	non-DE	non-DE
ENSG00000034713	GABARAPL2	18 h	All	non-DE
ENSG00000035115	SH3YL1	18 h	Yers-Salm	non-DE
ENSG00000035141	FAM136A	18 h	All	non-DE
ENSG00000035403	VCL	Yers-Salm	non-DE	non-DE
ENSG00000035499	DEPDC1B	18 h	All	Yers-Salm
ENSG00000035664	DAPK2	48 h	Yers-Salm	All
ENSG00000035681	NSMAF	non-DE	non-DE	non-DE
ENSG00000035687	ADSS	non-DE	non-DE	non-DE
ENSG00000035720	STAP1	Yers-Salm	non-DE	non-DE
ENSG00000035862	TIMP2	18 & 48 h	All	All
ENSG00000035928	RFC1	18 h	All	non-DE
ENSG00000036054	TBC1D23	18 & 48 h	All	All
ENSG00000036257	CUL3	non-DE	non-DE	non-DE
ENSG00000036448	MYOM2	non-DE	non-DE	non-DE
ENSG00000036549	ZZZ3	48 h	Yers-Salm	All
ENSG00000036672	USP2	non-DE	non-DE	non-DE
ENSG00000037042	TUBG2	non-DE	non-DE	non-DE
ENSG00000037241	RPL26L1	18 h	Virulent	non-DE
ENSG00000037280	FLT4	Yers-Salm	non-DE	non-DE
ENSG00000037474	NSUN2	non-DE	non-DE	non-DE
ENSG00000037637	FBXO42	18 h	Virulent	non-DE
ENSG00000037749	MFAP3	18 & 48 h	All	All
ENSG00000037757	MRI1	Yers-Salm	non-DE	non-DE
ENSG00000037897	METTL1	48 h	non-DE	All
ENSG00000038002	AGA	non-DE	non-DE	non-DE
ENSG00000038210	PI4K2B	Yers-Salm	non-DE	non-DE
ENSG00000038219	BOD1L1	18 h	Virulent	non-DE
ENSG00000038274	MAT2B	Yers-Salm	non-DE	non-DE
ENSG00000038358	EDC4	non-DE	non-DE	non-DE
ENSG00000038382	TRIO	non-DE	Virulent	non-DE
ENSG00000038427	VCAN	All	All	All
ENSG00000038532	CLEC16A	non-DE	non-DE	non-DE
ENSG00000038945	MSR1	18 & 48 h	All	All
ENSG00000039123	SKIV2L2	non-DE	non-DE	non-DE
ENSG00000039319	ZFYVE16	18 h	All	non-DE
ENSG00000039523	FAM65A	Yers-Salm	non-DE	non-DE
ENSG00000039560	RAI14	18 & 48 h	All	All
ENSG00000039650	PNKP	non-DE	non-DE	non-DE
ENSG00000040199	PHLPP2	18 & 48 h	Virulent	All
ENSG00000040275	SPDL1	18 h	All	non-DE
ENSG00000040341	STAU2	18 h	All	non-DE
ENSG00000040487	PQLC2	Yers-Salm	Yers-Salm	non-DE
ENSG00000040531	CTNS	non-DE	non-DE	non-DE
ENSG00000040608	RTN4R	48 h	Yers-Salm	All
ENSG00000040633	PHF23	Yers-Salm	non-DE	non-DE
ENSG00000040933	INPP4A	48 h	non-DE	All
ENSG00000041357	PSMA4	Yers-Salm	non-DE	non-DE
ENSG00000041802	LSG1	18 h	All	non-DE
ENSG00000041880	PARP3	non-DE	non-DE	Yers-Salm
ENSG00000041982	TNC	48 h	Yers-Salm	MTB
ENSG00000041988	THAP3	non-DE	non-DE	non-DE
ENSG00000042062	FAM65C	18 & 48 h	All	All
ENSG00000042088	TDP1	18 h	All	non-DE
ENSG00000042286	AIFM2	18 & 48 h	All	Yers-Salm
ENSG00000042317	SPATA7	18 & 48 h	MTB	All
ENSG00000042429	MED17	Yers-Salm	non-DE	non-DE
ENSG00000042445	RETSAT	non-DE	Yers-Salm	non-DE
ENSG00000042493	CAPG	non-DE	non-DE	non-DE
ENSG00000042753	AP2S1	18 h	Yers-Salm	Yers-Salm
ENSG00000042832	TG	18 h	All	non-DE
ENSG00000042980	ADAM28	48 h	Yers-Salm	MTB
ENSG00000043093	DCUN1D1	non-DE	non-DE	non-DE
ENSG00000043143	PHF15	All	MTB	non-DE
